City,Eq_Latitude,Eq_Longitude,Magnitude,Depth
Çanakkale,39.5256,26.1916,4.5,3.92
Çanakkale,39.5243,26.1065,4.1,10.63
Çanakkale,39.5163,26.177,4.1,5.63
Çanakkale,39.5326,26.1705,4.4,6.08
Çanakkale,39.5313,26.1865,4.2,3.95
Çanakkale,39.52,26.1555,4.3,8.8
Çanakkale,39.5205,26.151,5.2,6.24
Çanakkale,39.5366,26.1183,4.4,9.35
Çanakkale,39.5303,26.1351,5.3,8.72
Çanakkale,39.5333,26.1288,4.0,6.66
Çanakkale,39.5495,26.136999999999997,5.3,14.16
Malatya,38.6873,38.0893,4.0,17.85
Muğla,36.7501,27.6628,4.3,19.29
Çanakkale,39.5418,26.151,4.3,9.24
Çanakkale,39.5373,26.1518,4.6,9.0
Erzincan,39.5798,39.72,4.5,3.19
Muğla,37.104,28.6418,4.2,18.11
Van,38.533,43.8653,4.4,10.72
Van,38.5498,43.8948,4.0,18.99
Van,38.522,43.861000000000004,4.6,10.4
Van,38.571999999999996,43.836999999999996,4.1,11.0
Erzincan,39.9526,38.5926,4.0,6.36
Çorum,40.7508,34.2811,4.7,6.42
Bitlis,38.4211,41.9276,4.2,1.63
Van,38.6323,43.7393,4.1,11.85
Manisa,38.9298,27.7166,4.2,9.8
Manisa,38.9333,27.72,4.1,8.14
Manisa,39.0091,27.726,4.0,14.07
Denizli,37.933,29.1285,4.0,7.5
Denizli,37.9268,29.1198,4.0,7.22
Gaziantep,37.2055,36.9008,4.0,7.8
Manisa,38.9023,27.7448,4.5,17.24
Manisa,38.905,27.7451,4.6,17.78
Malatya,38.7015,38.1531,4.1,11.16
Ankara,40.315,33.3615,4.2,12.23
Denizli,37.9978,29.3981,4.0,9.48
Antalya,36.9745,30.4645,4.3,52.28
Manisa,38.763000000000005,27.8053,4.0,9.82
Yalova,40.6985,29.2016,4.2,9.73
Bingöl,39.4001,40.675,4.1,18.29
Bingöl,39.0118,40.7121,4.5,12.81
Bursa,40.259,29.1605,4.3,13.92
İzmir,38.6085,26.6953,4.2,21.34
Erzincan,39.9081,39.8503,4.1,13.97
Gaziantep,36.9093,36.6191,4.0,5.79
Van,38.8986,43.5535,4.0,10.92
Niğde,37.9231,35.0906,4.1,12.9
Adana,37.016999999999996,35.8441,4.1,28.37
Muğla,36.5926,27.9785,4.2,51.57
Kayseri,39.0116,35.8421,4.1,5.44
Denizli,36.9488,29.366999999999997,4.0,8.03
Malatya,38.8426,37.8425,4.1,10.15
Bitlis,38.0495,42.6708,4.5,15.21
Bingöl,39.2715,40.1295,4.1,7.01
Kırşehir,39.564,34.358000000000004,5.0,13.6
Van,38.9158,43.5316,4.0,8.97
Van,38.9188,43.5083,4.4,10.15
İzmir,38.6303,26.5821,4.0,4.78
Van,37.8821,43.5216,4.1,9.96
Malatya,38.8173,37.8493,4.5,17.54
Bingöl,39.2863,40.1905,4.5,9.75
Bingöl,39.2746,40.1996,4.0,11.42
Bingöl,39.2613,40.2135,4.1,9.83
Bingöl,39.2856,40.1853,4.0,9.85
Bingöl,39.2736,40.2023,4.0,9.98
Bingöl,39.260999999999996,40.217,5.3,10.66
Balıkesir,39.1495,28.154,4.0,10.85
Malatya,38.8401,37.836999999999996,5.0,22.41
Denizli,37.8023,29.3195,4.1,14.72
Denizli,37.8286,29.2956,4.1,17.09
İstanbul,40.8181,28.7631,4.0,13.23
Van,39.1198,43.7438,4.8,4.9
Tekirdağ,40.8003,27.7446,4.4,13.04
Çanakkale,39.7781,26.2648,4.3,9.78
Kütahya,39.1143,29.0328,4.2,10.21
Tokat,40.6681,36.6735,4.0,20.52
Tokat,40.6643,36.681,4.9,20.17
Malatya,38.1753,38.963,4.1,7.16
Kütahya,39.1295,29.1071,4.3,6.1
Kütahya,39.1271,29.118000000000002,4.3,9.33
Muğla,37.101,28.878,4.4,21.36
Ağrı,39.3966,43.9476,4.0,7.6
Elazığ,39.1676,40.1901,4.4,17.42
Kütahya,39.1226,29.1225,4.1,10.24
Şırnak,37.4725,42.992,4.2,14.95
Kahramanmaraş,37.3283,36.9338,4.0,10.2
Van,38.6403,43.0441,4.0,3.04
Adana,37.4988,35.6898,4.0,9.84
Ağrı,39.4055,43.9963,4.0,9.48
Adana,36.5646,35.0361,5.0,29.68
Muğla,37.1431,28.6885,4.2,15.05
Çanakkale,40.2425,26.2778,4.4,21.64
Çanakkale,40.2473,26.2661,4.8,18.9
Çanakkale,40.2488,26.2651,4.3,12.97
Ağrı,39.9061,43.2481,4.1,18.9
Denizli,37.5645,29.5395,4.2,27.88
İzmir,38.234,26.5638,4.1,15.52
Van,38.681,43.178999999999995,4.5,30.45
Bingöl,38.662,40.1986,4.0,25.11
Hakkari,37.508,43.882,4.0,12.69
Muğla,36.8703,27.5928,4.1,17.01
Bolu,40.8573,32.496,4.0,12.07
Van,38.9286,43.5206,4.0,16.47
Muğla,37.056999999999995,28.5396,4.0,16.92
Şanlıurfa,37.528,38.8056,4.0,10.94
Kahramanmaraş,37.4551,36.3895,4.1,14.64
İzmir,37.9521,27.199,4.1,7.87
İzmir,38.6773,26.3623,4.1,25.29
Antalya,37.1478,30.0865,4.7,31.23
Antalya,37.1475,30.069000000000003,4.5,11.86
Tunceli,39.4301,40.1351,4.3,13.01
Van,38.041,42.7166,4.1,5.66
Çanakkale,40.3083,26.0295,4.1,14.63
Bursa,40.0455,28.5788,4.3,13.02
Osmaniye,37.3638,36.3098,4.3,7.85
Van,38.316,42.8243,4.4,13.59
İzmir,38.2026,27.0678,4.3,7.86
Gaziantep,37.0901,36.8058,4.6,8.0
Mersin,36.954,34.4013,4.1,14.47
Çanakkale,40.1298,27.0845,4.3,17.35
Kütahya,39.3488,29.011999999999997,4.0,8.37
Kütahya,39.3318,29.0056,4.3,10.78
Muğla,36.907,27.7096,4.2,20.83
Kütahya,39.335,29.0036,4.0,8.72
Muğla,36.428000000000004,28.816,4.2,6.02
Kütahya,39.3255,28.9978,4.0,12.19
Muğla,37.1473,28.758000000000003,4.3,10.34
Muğla,37.1163,28.7345,4.8,14.46
Bitlis,38.7235,42.1101,4.4,12.23
Bilecik,40.4113,30.1001,4.5,7.68
Gümüşhane,39.9795,39.6585,4.0,12.83
İzmir,38.169000000000004,27.1045,4.1,11.74
İzmir,38.1873,27.0596,4.0,10.7
Burdur,36.9611,29.3695,4.2,25.37
Bingöl,38.8356,40.9686,4.1,5.24
Samsun,41.816,35.949,4.0,11.9
Erzincan,39.1693,38.72,4.2,7.62
Burdur,37.644,30.6368,4.8,7.58
Muğla,37.0156,27.3876,4.0,11.69
Muğla,36.9278,27.6545,4.1,15.27
Çanakkale,40.321,26.0166,4.1,8.76
Yalova,40.5916,29.1678,4.0,10.17
Samsun,41.739,35.8155,4.2,9.03
Muğla,36.7425,28.11,4.0,37.97
Van,38.591,43.1265,4.1,12.61
